canonical_name,current_size,corrected_size,confidence,rationale
# HIGH CONFIDENCE CORRECTIONS - Startups that should be Enterprise (500+ employees)
openai,startup,enterprise,high,"~3000+ employees as of 2024, major AI company"
lucidmotors,startup,enterprise,high,"7000+ employees, publicly traded EV manufacturer"
zoox,startup,enterprise,high,"2500+ employees, Amazon subsidiary autonomous vehicles"
coreweave,startup,enterprise,high,"700+ employees, major GPU cloud provider"
flyzipline,startup,enterprise,high,"1000+ employees, drone delivery at scale"
ramp,startup,enterprise,high,"800+ employees, major fintech"
headway,startup,enterprise,high,"600+ employees, mental health platform at scale"

# HIGH CONFIDENCE CORRECTIONS - Startups that should be Scaleup (51-500 employees)
wayve,startup,scaleup,high,"300+ employees, autonomous driving company"
mercury,startup,scaleup,high,"500+ employees, business banking"
hightouch,startup,scaleup,high,"200+ employees, data activation platform"
cohere,startup,scaleup,high,"500+ employees, enterprise AI"
perplexity,startup,scaleup,high,"100+ employees, AI search company"
lambda,startup,scaleup,high,"200+ employees, GPU cloud"
togetherai,startup,scaleup,high,"100+ employees, AI infrastructure"
hebbia,startup,scaleup,high,"100+ employees, AI for enterprises"
langchain,startup,scaleup,high,"100+ employees, AI framework company"
astranis,startup,scaleup,high,"600+ employees, satellite company"
marshmallow,startup,scaleup,high,"300+ employees, UK insurance"
wheely,startup,scaleup,high,"200+ employees, premium ride-hailing"
glossgenius,startup,scaleup,high,"200+ employees, salon software"
labelbox,startup,scaleup,high,"200+ employees, data labeling platform"
oscar,startup,scaleup,high,"Oscar Health has 3000+ employees - should be enterprise"
growtherapy,startup,scaleup,high,"Grow Therapy has 400+ employees"
tripledot,startup,scaleup,high,"300+ employees, mobile gaming"
goodnotes,startup,scaleup,high,"200+ employees, note-taking app"

# HIGH CONFIDENCE CORRECTIONS - Scaleups that should be Enterprise (500+ employees)
affirm,scaleup,enterprise,high,"2000+ employees, publicly traded BNPL"
reddit,scaleup,enterprise,high,"2000+ employees, publicly traded social platform"
anthropic,scaleup,enterprise,high,"1000+ employees, major AI company"
discord,scaleup,enterprise,high,"600+ employees, communication platform"
airtable,scaleup,enterprise,high,"800+ employees, no-code platform"
gitlab,scaleup,enterprise,high,"2000+ employees, publicly traded DevOps"
monzo,scaleup,enterprise,high,"3000+ employees, UK digital bank"
wise,scaleup,enterprise,high,"4000+ employees, publicly traded fintech"
figma,scaleup,enterprise,high,"1500+ employees, design platform"
duolingo,scaleup,enterprise,high,"800+ employees, publicly traded education"
grammarly,scaleup,enterprise,high,"900+ employees, writing assistant"
checkr,scaleup,enterprise,high,"1000+ employees, background checks"
braze,scaleup,enterprise,high,"1500+ employees, publicly traded marketing"
plaid,scaleup,enterprise,high,"1000+ employees, fintech infrastructure"
asana,scaleup,enterprise,high,"1500+ employees, publicly traded work management"
doordash,scaleup,enterprise,high,"16000+ employees, publicly traded delivery"
gusto,scaleup,enterprise,high,"2000+ employees, HR/payroll platform"
pleo,scaleup,enterprise,high,"850+ employees, expense management"
wiz,scaleup,enterprise,high,"1200+ employees, cloud security unicorn"
intercom,scaleup,enterprise,high,"1000+ employees, customer messaging"
miro,scaleup,enterprise,high,"1500+ employees, collaboration platform"
scale,scaleup,enterprise,high,"Scale AI has 800+ employees"
rippling,scaleup,enterprise,high,"3000+ employees, HR platform"
tripadvisor,scaleup,enterprise,high,"2500+ employees, publicly traded travel"
deliveroo,scaleup,enterprise,high,"2800+ employees, publicly traded delivery"
roku,scaleup,enterprise,high,"3500+ employees, publicly traded streaming"
sofi,scaleup,enterprise,high,"6000+ employees, publicly traded fintech"
andurilindustries,scaleup,enterprise,high,"2500+ employees, defense tech"
aurorainnovation,scaleup,enterprise,high,"1700+ employees, autonomous vehicles"
handshake,scaleup,enterprise,high,"800+ employees, career platform"
kraken,scaleup,enterprise,high,"3000+ employees, crypto exchange"
gemini,scaleup,enterprise,high,"1000+ employees, crypto exchange"
rubrik,scaleup,enterprise,high,"2000+ employees, data security"
flexport,scaleup,enterprise,high,"3000+ employees, freight forwarding"
faire,scaleup,enterprise,high,"1000+ employees, wholesale marketplace"
motive,scaleup,enterprise,high,"4000+ employees, fleet management"
attentive,scaleup,enterprise,high,"1300+ employees, mobile marketing"
abnormalsecurity,scaleup,enterprise,high,"900+ employees, email security"
gocardless,scaleup,enterprise,high,"800+ employees, payments"
nuro,startup,enterprise,high,"1000+ employees, autonomous delivery"
octoenergy,scaleup,enterprise,high,"3000+ employees, UK energy supplier"
webflow,scaleup,enterprise,high,"600+ employees, website builder"
vanta,scaleup,enterprise,high,"600+ employees, security compliance"
glean,scaleup,enterprise,high,"500+ employees, AI search"
moloco,scaleup,enterprise,high,"800+ employees, ad tech"
skyscanner,scaleup,enterprise,high,"1000+ employees, travel search"
whatnot,scaleup,enterprise,high,"600+ employees, live selling"

# MEDIUM CONFIDENCE CORRECTIONS - Need verification
oscar,startup,enterprise,medium,"Oscar Health is publicly traded with 3000+ employees"
crusoe,startup,enterprise,medium,"Crusoe Energy has 500+ employees"
replit,scaleup,scaleup,medium,"~150 employees, correctly classified"
retool,scaleup,scaleup,medium,"~450 employees, borderline but correct"
mistral,startup,scaleup,medium,"Mistral AI growing fast, 60-100 employees"
cognition,startup,scaleup,medium,"Devin AI company, 50+ employees and growing"

# NULL VALUES - Recruitment agencies (should be excluded or classified)
ef recruitment,null,exclude,high,"Recruitment agency - not an employer"
red global,null,exclude,high,"Recruitment agency"
cymertek,null,exclude,medium,"Unknown company"
netskope,null,enterprise,high,"4000+ employees, cloud security"
zone it solutions,null,exclude,medium,"Staffing agency"
technopride ltd,null,exclude,medium,"Recruitment agency"
kavaliro,null,exclude,medium,"Staffing agency"
randstad technologies recruitment,null,enterprise,high,"Part of Randstad enterprise"
arthur recruitment,null,exclude,medium,"Recruitment agency"
anywhere real estate,null,enterprise,high,"10000+ employees, real estate"
pioneer search,null,exclude,medium,"Recruitment agency"
suncap technology,null,exclude,medium,"Staffing agency"
redline group ltd,null,exclude,medium,"Recruitment agency"
concept resourcing,null,exclude,medium,"Recruitment agency"
altamira,null,exclude,medium,"Unknown/staffing"
aztec group,null,enterprise,medium,"Financial services, 2000+ employees"
mm international,null,exclude,medium,"Staffing agency"
cella,null,exclude,medium,"Staffing agency"
aston carter,null,exclude,medium,"Staffing agency"
online remote jobs,null,exclude,medium,"Job board"
atlas search,null,exclude,medium,"Staffing agency"
aristocrat technologies,null,enterprise,high,"6000+ employees, gaming"
mitchell maguire,null,exclude,medium,"Recruitment agency"
engineering employment,null,exclude,medium,"Recruitment agency"
carrington recruitment solutions limited,null,exclude,medium,"Recruitment agency"
akaasa technologies,null,exclude,medium,"Unknown staffing"
ctg,null,enterprise,medium,"Computer Task Group, 4000+ employees"
cella inc,null,exclude,medium,"Staffing agency"
gliacell technologies,null,exclude,medium,"Unknown"
kharon,null,scaleup,medium,"Risk intelligence, 200+ employees"
kellymitchell group,null,exclude,medium,"Staffing agency"
si solutions llc,null,exclude,medium,"Staffing agency"
vontier,null,enterprise,high,"3500+ employees, industrial tech"
corpay,null,enterprise,high,"8000+ employees, payments"
travelnursesource,null,exclude,medium,"Job board"
n consulting ltd,null,exclude,medium,"Unknown"
diverse lynx,null,exclude,medium,"Staffing agency"
lynx recruitment ltd,null,exclude,medium,"Recruitment agency"
lynx recruitment,null,exclude,medium,"Recruitment agency"
prospero integrated,null,exclude,medium,"Staffing agency"
elliot partnership,null,exclude,medium,"Recruitment agency"
talencia,null,exclude,medium,"Recruitment agency"
astreya,null,enterprise,medium,"1000+ employees, IT services"
kforce,null,enterprise,high,"8000+ employees, staffing"
actalent,null,enterprise,high,"Part of Allegis, major staffing"
randstad technologies,null,enterprise,high,"Part of Randstad"
wyetech,null,exclude,medium,"Unknown"
olsson,null,enterprise,medium,"1000+ employees, engineering"
tech aalto,null,exclude,medium,"Unknown"
drc systems,null,exclude,medium,"Unknown"
mindlance,null,exclude,medium,"Staffing agency"
formula recruitment,null,exclude,medium,"Recruitment agency"
mackay sposito,null,exclude,medium,"Unknown"
vdart inc,null,exclude,medium,"Staffing agency"
seacare manpower services pte ltd,null,exclude,medium,"Staffing agency"
rapsys technologies pte ltd.,null,exclude,medium,"Staffing agency"
unison group,null,exclude,medium,"Unknown"
falcon green personnel,null,exclude,medium,"Recruitment agency"
goodman masson,null,exclude,medium,"Recruitment agency"
resolvesoft inc,null,exclude,medium,"Unknown"
techohana,null,exclude,medium,"Unknown"
indigo tg,null,exclude,medium,"Unknown"
appic solutions,null,exclude,medium,"Unknown"
lhh,null,enterprise,high,"Lee Hecht Harrison, part of Adecco"
computer futures,null,exclude,medium,"Recruitment agency"
eligo recruitment ltd,null,exclude,medium,"Recruitment agency"
microtech global ltd,null,exclude,medium,"Unknown"
xcellink pte ltd,null,exclude,medium,"Staffing agency"
sphere digital recruitment,null,exclude,medium,"Recruitment agency"
pyramid etc companies llc,null,exclude,medium,"Unknown"
catapult solutions group,null,exclude,medium,"Staffing agency"
mindbank consulting group,null,exclude,medium,"Staffing agency"
harvey nash,null,exclude,medium,"Recruitment agency"
quality talent group,null,exclude,medium,"Recruitment agency"
us tech solutions inc,null,exclude,medium,"Staffing agency"
veerteq solutions inc.,null,exclude,medium,"Staffing agency"
purple drive,null,exclude,medium,"Unknown"
msi reproductive choices,null,exclude,medium,"Healthcare org"
encora,null,enterprise,medium,"7000+ employees, software services"
interex group,null,exclude,medium,"Staffing agency"
morgan mckinley,null,exclude,medium,"Recruitment agency"
talent international uk ltd,null,exclude,medium,"Recruitment agency"
jacobs massey,null,exclude,medium,"Unknown"
dardano's shoes,null,exclude,low,"Retail - not relevant"
tokyo joes llc,null,exclude,low,"Restaurant chain - not relevant"
tms llc,null,exclude,medium,"Unknown"
innovim,null,exclude,medium,"Unknown"
blank space recruitment,null,exclude,medium,"Recruitment agency"
skilled careers ltd,null,exclude,medium,"Recruitment agency"
pri technology,null,exclude,medium,"Unknown"
shulman fleming & partners,null,exclude,medium,"Recruitment agency"
sealaska,null,enterprise,medium,"Alaska Native Corporation, 4000+ employees"
magnet medical,null,exclude,medium,"Healthcare staffing"
imanage,null,enterprise,medium,"700+ employees, document management"
staffworx limited,null,exclude,medium,"Staffing agency"
achieving stars therapy,null,exclude,medium,"Unknown"
summer browning associates,null,exclude,medium,"Recruitment agency"

# CORRECT CLASSIFICATIONS - Verified as accurate
databricks,enterprise,enterprise,high,"6000+ employees, correctly classified"
stripe,enterprise,enterprise,high,"8000+ employees, correctly classified"
airbnb,enterprise,enterprise,high,"6000+ employees, correctly classified"
coinbase,enterprise,enterprise,high,"3000+ employees, correctly classified"
robinhood,enterprise,enterprise,high,"3200+ employees, correctly classified"
samsara,enterprise,enterprise,high,"2500+ employees, correctly classified"
cloudflare,enterprise,enterprise,high,"4000+ employees, correctly classified"
datadog,enterprise,enterprise,high,"5000+ employees, correctly classified"
mongodb,enterprise,enterprise,high,"5000+ employees, correctly classified"
twilio,enterprise,enterprise,high,"5000+ employees, correctly classified"
okta,enterprise,enterprise,high,"5000+ employees, correctly classified"
confluent,enterprise,enterprise,high,"3000+ employees, correctly classified"
elastic,enterprise,enterprise,high,"3000+ employees, correctly classified"
servicenow,enterprise,enterprise,high,"22000+ employees, correctly classified"
snowflake,enterprise,enterprise,high,"7000+ employees, correctly classified"
atlassian,enterprise,enterprise,high,"11000+ employees, correctly classified"
spotify,enterprise,enterprise,high,"10000+ employees, correctly classified"
zoom,enterprise,enterprise,high,"8000+ employees, correctly classified"
salesforce,enterprise,enterprise,high,"70000+ employees, correctly classified"
adobe,enterprise,enterprise,high,"29000+ employees, correctly classified"
intuit,enterprise,enterprise,high,"17000+ employees, correctly classified"
meta,enterprise,enterprise,high,"67000+ employees, correctly classified"
google,enterprise,enterprise,high,"180000+ employees, correctly classified"
amazon,enterprise,enterprise,high,"1.5M+ employees, correctly classified"
apple,enterprise,enterprise,high,"160000+ employees, correctly classified"
microsoft,enterprise,enterprise,high,"220000+ employees, correctly classified"
uber,enterprise,enterprise,high,"32000+ employees, correctly classified"
linkedin,enterprise,enterprise,high,"20000+ employees, correctly classified"
carta,enterprise,enterprise,high,"2000+ employees, correctly classified"
klaviyo,enterprise,enterprise,high,"2000+ employees, correctly classified"
notion,enterprise,enterprise,high,"500+ employees, correctly classified"
deel,enterprise,enterprise,high,"3000+ employees, correctly classified"
toast,enterprise,enterprise,high,"5000+ employees, correctly classified"
docusign,enterprise,enterprise,high,"7000+ employees, correctly classified"
autodesk,enterprise,enterprise,high,"13000+ employees, correctly classified"
coursera,enterprise,enterprise,high,"1200+ employees, correctly classified"
squarespace,enterprise,enterprise,high,"1700+ employees, correctly classified"
